Latitude;Longitude;Altitude;Geometry;Grund der Fällung;Baum_ID;Gattung;Art;Sorte;Deutsch;Straße;Hausnummer;Pflegebezirk;Politischer Bezirk;Stammumfang;X_Koord;Y_Koord
51.24195072;6.81161887;0;point;Morschung;104608;Robinia;pseudoacaccia;;Scheinakazie;Graf-Recke-Straße;170 Schule;3104;6;76;32347250.19;5679006.52
51.2506772;6.80428687;0;point;;104925;Aesculus;hippocastanum;;Ross-Kastanie;Mörsenbroicher Weg;15;;;;32346767.48;5679992.1
51.2437913;6.79720111;0;point;Sturmschaden;105323;Aesculus;hippocastanum;;Ross-Kastanie;Grunerstraße;3;3104;2;50;32346250.07;5679241.26
51.25309434;6.79427532;0;point;Riss im Zwiesel;105451;Robinia;pseudoacaccia;;Scheinakazie;Grashofstraße;;3104;6;174;32346076.95;5680281.8
51.25294769;6.79501224;0;point;;105479;Robinia;pseudoacaccia;;Scheinakazie;Grashofstraße;;;;;32346127.88;5680263.95
51.24461848;6.77189704;0;point;Pilzbefall am Wurzelhals (Lackporling);106760;Robinia;pseudoacaccia;;Scheinakazie;Kennedydamm;;3104;1;184;32344486.89;5679386.51
51.24432501;6.77088642;0;point;Pilzbefall (Riesenporling);106845;Platanus;acerifolia;;Platane;Kaiserswerther Straße;117;3104;1;451;32344415.37;5679356.02
51.25852589;6.81282651;0;point;abgestorben;107106;Acer;pseudoplatanus;;Bergahorn;Rückertstraße;Grünanlage;3104;6;98;32347389.37;5680847.02
51.26428546;6.81249168;0;point;Pilzbefall (Schillerporling) ;107206;Sorbus;aria;;Eberesche;In den Diken;;3104;6;148;32347385.09;5681488.13
51.26321985;6.81274369;0;point;Pilzbefall (Schillerporling) ;107215;Sorbus;aria;;Eberesche;In den Diken;;3104;6;80;32347399.14;5681369.12
51.25761282;6.80602172;0;point;abgestorben;107556;Acer;pseudoplatanus;;Bergahorn;Münsterstraße;437;3104;6;93;32346911.58;5680759.66
51.2575105;6.80591293;0;point;abgestorben;107557;Acer;pseudoplatanus;;Bergahorn;Münsterstraße;435;3104;6;150;32346903.65;5680748.51
51.25707875;6.8054489;0;point;abgestorben;107559;Acer;pseudoplatanus;;Bergahorn;Münsterstraße;425;3104;6;121;32346869.84;5680701.47
51.26140392;6.80496993;0;point;abgestorben;107579;Tilia;pallida;;Linde;Hördtweg;1;3104;6;163;32346850.8;5681183.39
51.26121084;6.80383427;0;point;Morschung im Stammbereich;107626;Acer;pseudoplatanus;;Bergahorn;Scheffelstraße;KSP;3104;6;80;32346770.93;5681164.29
51.26458189;6.80374378;0;point;Wurzelfäule;107638;Robinia;pseudoacaccia;;Scheinakazie;Rather Kreuzweg;78;3104;6;118;32346775.83;5681539.31
